"Phenotype","HAI Type","Age","State","ID State","Percent Resistant"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Alaska","2","3.4"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Alabama","1","8.3"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Arkansas","5","10.8"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Arizona","4","8.8"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","California","6","17.3"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Colorado","8","9.0"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Connecticut","9","14.4"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","District of Columbia","11","19.7"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Delaware","10","10.5"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Florida","12","11.7"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Georgia","13","13.4"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Hawaii","15","10.4"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Idaho","16","6.1"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Illinois","17","13.9"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Indiana","18","6.9"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Iowa","19","4.6"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Kansas","20","7.6"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Kentucky","21","11.6"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Louisiana","22","5.7"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Maine","23","5.9"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Maryland","24","14.0"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Massachusetts","25","15.3"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Michigan","26","10.6"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Minnesota","27","7.6"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Missouri","29","7.2"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Mississippi","28","10.1"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Montana","30","9.4"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","North Carolina","37","9.4"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","North Dakota","38","0.0"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Nebraska","31","15.8"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","New Hampshire","33","1.7"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","New Jersey","34","9.8"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","New Mexico","35","4.2"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Nevada","32","12.3"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","New York","36","12.9"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Ohio","39","7.9"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Oklahoma","40","10.8"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Oregon","41","4.7"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Pennsylvania","42","6.7"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Puerto Rico","72","24.7"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Rhode Island","44","16.3"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","South Carolina","45","9.0"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","South Dakota","46","6.5"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Tennessee","47","7.8"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Texas","48","14.1"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Utah","49","7.6"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Virginia","51","12.8"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Vermont","50","2.9"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Washington","53","12.0"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Wisconsin","55","6.3"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","West Virginia","54","23.0"
"MDR <em>E.coli</em>","All HAI Type Data","All Ages Data","Wyoming","56",
